layer,scope,n,mean,std
surface,overall,210,0.053704557503329246,0.012085890310154255
mid,overall,210,0.05526003312735869,0.01404063599705486
residue,overall,210,0.056076572833458356,0.014228100031634855
surface,2026-04,104,0.051836239125092214,0.006479896147753179
mid,2026-04,104,0.05582595369389849,0.013995266831265682
residue,2026-04,104,0.05398194869171154,0.01031223237519847
surface,2026-05,106,0.05553762459141086,0.015537045390566856
mid,2026-05,106,0.05470479030735738,0.014062891148527578
residue,2026-05,106,0.05813167576498353,0.016976285312698514
